"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 16, Fort Worth, Texas",16-CA-258817,"United States Postal Service",Closed,04/06/2020,08/17/2020,"Dismissal Non-adjusted","San Antonio",TX,40,"8(a)(3) Changes in Terms and Conditions of Employment
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Thompson Joy, United States Postal Service, Law Department - NLRB Unit,, 475 L'Enfant Plaza SW, Washington, DC, 20260, (202)268-2390
Charging Party, Individual
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, SAN ANTONIO, TX, 78238
",,,
C,"Region 31, Los Angeles, California",31-CA-258819,"Mr. C Manager, LLC d/b/a Mr. C Beverly Hills",Closed,04/06/2020,08/04/2020,"Withdrawal Non-adjusted","Los Angeles",CA,2,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charged Party / Respondent, Legal Representative, Letter Gordon, Littler Mendelson  PC, 2049 Century Park East, 5th Floor, Los Angeles, CA, 90067-3107, (310)772-7226
Charging Party, Union, UNITE HERE Local 11, Los Angeles, CA, 90017-2074
Charged Party / Respondent, Employer, Mr. C Manager, LLC, Los Angeles, CA, 90035
",,,
C,"Region 12, Tampa, Florida",12-CA-258826,"United States Postal Service",Closed,04/06/2020,05/18/2020,"Withdrawal Non-adjusted","Fort Myers",FL,23,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Delvecchio Patricia, United States Postal Service (Law Department - NLRB Unit), 1720 Market St, Rm 2400, St. Louis, MO, 63155-9948, (727)464-2913
Charging Party, Union, American Postal Workers Union, Local 1279, AFL-CIO, Ft. Myers, FL, 33966-1210
Charged Party / Respondent, Employer, United States Postal Service, Fort Myers, FL, 33907-9603
",,,
C,"Region 20, San Francisco, California",20-CA-258859,"University of San Francisco",Closed,04/06/2020,10/21/2022,"Withdrawal Adjusted","San Francisco",CA,5000,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
8(a)(1) Interrogation (including Polling)
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(1) Coercive Rules
","Charged Party / Respondent, Legal Representative, Vartain Michael, Vartain Law Group  PC, 601 Montgomery Street,  Suite 780, San Francisco, CA, 94111-2608, (415)391-1155
Charging Party, Legal Representative, Garea Susan, Beeson Tayer & Bodine, 483 Ninth Street, Suite 200, Oakland, CA, 94607-4051, (510)625-9700
Charged Party / Respondent, Employer, University of San Francisco, San Francisco, CA, 94117-1080
Charging Party, Union, USF Part Time Faculty Association, San Francisco, CA, 94122
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-259003,"United States Postal Service",Closed,04/06/2020,06/01/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, Memphis, TN, 38136-9997
Charging Party, Union, National Postal Mail Handlers Union Local 329, Memphis, TN, 38136-9998
",,,
C,"Region 13, Chicago, Illinois",13-CB-258775,"National Association of Letter Carriers, Branch 11 (United States Postal Service)",Closed,04/06/2020,02/17/2021,"Informal Settlement",Evanston,IL,50,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative, Nesbitt Dan, Cohen, Weiss and Simon LLP, 900 Third Avenue,  Suite 2100, New York, NY, 10022-4869, (212)356-0233
Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Cohen Judd, Cohen, Weiss & Simon, LLP, 900 3rd Ave,, Suite 2100, New York, NY, 10022-4869, (212)356-0227
Charging Party, Individual
Charged Party / Respondent, Additional Service, Cohen, Weiss and Simon, LLP, New York, NY, 10022
Charged Party / Respondent, Union, National Association of Letter Carriers Branch 11, Chicago, IL, 60653-1521
Involved Party, Employer, United States Postal Service, Evanston, IL, 60201-9998
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258799,"Facilities Performance Group",Closed,04/06/2020,06/25/2020,"Withdrawal Non-adjusted",Southaven,MS,400,"8(a)(1) Discharge of supervisor (Parker-Robb Chevrolet)
8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, HAGERMAN JENNIFER, BURCH, PORTER & JOHNSON, PLLC, 130 North Court Avenue, Memphis, TN, 38103, (901)524-5000
Charging Party, Individual
Charged Party / Respondent, Employer, Facilities Performance Group, Southaven, MS, 38671-____
",,,
C,"Region 32, Oakland, California",32-CA-258798,"St. Rose Hospital",Closed,04/06/2020,06/03/2020,"Withdrawal Non-adjusted",Hayward,CA,500,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charging Party, Legal Representative, Hubahib Glen, Glen P. Hubahib, 29265 Lassen Street, Hayward, CA, 94544-4339, (209)914-5188
Charged Party / Respondent, Legal Representative, Sarrao Michael, LAW OFFICES OF MICHAEL J. SARRAO, 16310 Bake Pkwy Ste 200, Irvine, CA, 92618-4684, (949)783-3976
Charged Party / Respondent, Employer, St. Rose Hospital, Hayward, CA, 94545-4339
Charging Party, Individual
",,,
C,"Region 13, Chicago, Illinois",13-CA-258804,"MV, Transportation, Inc.",Closed,04/06/2020,07/10/2020,"Withdrawal Non-adjusted",Batavia,IL,47,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Domholdt Patrick, MV Transportation, Inc., PO Box 231596, Las Vegas, NV, 89105-1596, (702)279-9883
Charging Party, Union, Teamsters Local 777, Lyons, IL, 60534
Charged Party / Respondent, Employer, MV, Transportation, Inc., Batavia, IL, 60510
",,,
C,"Region 08, Cleveland, Ohio",08-CA-258813,"ACV Enviro CC",Closed,04/06/2020,05/12/2020,"Withdrawal Non-adjusted",Cleveland,OH,150,"8(a)(5) Refusal to Furnish Information
8(a)(5) Failure to Sign Agreement
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Campbell David, Lewis Brisbois  Bisgaard & Smith LLP, 1375 E 9th St Ste 2250, Cleveland, OH, 44114, (216)298-1261
Charged Party / Respondent, Legal Representative, Slezak Donald, Lewis  Brisbois  Bisgaard & Smith LLP, 1375 E 9th St Ste 2250, Cleveland, OH, 44114-1752, (216)298-1263
Charging Party, Legal Representative, Fadel Timothy, Fadel & Beyer, LLC, The Bridge Building, 18500 Lake Rd Ste 300, Rocky River, OH, 44116-1773, (440)333-2050
Charged Party / Respondent, Employer, ACV Enviro CC, Avenel, NJ, 07001
Charging Party, Union, International Union of Operating Engineers, Local 18, Cleveland, OH, 44115
",,,
C,"Region 25, Indianapolis, Indiana",25-CB-258941,"Local 2209 UAW (General Motors)",Closed,04/06/2020,06/29/2020,"Withdrawal Non-adjusted",Roanoke,IN,10,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Notification, Georgell Holly, GENERAL MOTORS LLC, 300 RENAISSANCE CTR, DETROIT, MI, 48265, (313)667-9620
Charged Party / Respondent, Notification, Ganatra Niraj, International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW), AFL-CIO, Law Department, 8000 East Jefferson Ave., Detroit, MI, 48214, (313)926-5216
Charged Party / Respondent, Legal Representative, Hicks Robert, Macey Swanson Hicks & Sauer, LLP, 3719 S. East St. Ste. A, Indianapolis, IN, 46227, (317)637-2345
Charged Party / Respondent, Union, Local 2209 UAW, ROANOKE, IN, 46783
Involved Party, Employer, General Motors, ROANOKE, IN, 46783
Charging Party, Individual
",,,
R,"Region 22, Newark, New Jersey",22-RC-258810,"North American Industrial Services, Inc.",Closed,04/06/2020,07/28/2020,"Certific. of Representative",Linden,NJ,23,,"Petitioner, Legal Representative, Bonaguro Lauren, DeCotiis Fitzpatrick Cole & Giblin LLP, 61 Paramus Road, Paramus, NJ, 07652-____, (646)210-0132
Employer, Legal Representative, McDonough Thomas, Jackson Lewis P.C., 44 South Broadway, 14th Floor, White Plains, NY, 10601, (914)872-8060
Employer, Employer, Evergreen Industrial Services, Linden, NJ, 07036-____, (908)347-5453
Petitioner, Union, International Union of Operating Engineers, Local 825, springfield, NJ, 07081-____, (732)713-5049
","International Union of Operating Engineers, Local 825","Included: All full-time and part-time vacuum truck operators, operators, field technicians, foreman, working foreman, safety coordinator, mechnics, welders, and crew leaders Excluded: all other employees, including office clerical employees, managerial employees, guards, and supervisors as defined by the Act.",23
C,"Region 15, New Orleans, Louisiana",15-CA-259010,"United States Postal Service",Closed,04/06/2020,06/01/2020,"Dismissal Non-adjusted",Memphis,TN,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, National Postal Mail Handlers Union, Local 329, Memphis, TN, 38116-3618
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, Memphis, TN, 38136-6947
",,,
C,"Region 10, Atlanta, Georgia",10-CA-258759,"United States Postal Service",Closed,04/06/2020,07/17/2020,"Dismissal Non-adjusted",Smyrna,GA,100,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
8(a)(2) Assistance
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, United States Postal Service, Smyrna, GA, 30080-____
Charging Party, Individual
",,,
C,"Region 25, Indianapolis, Indiana",25-CB-258942,"NALC, Branch 39 (United States Postal Service)",Closed,04/06/2020,06/18/2020,"Dismissal Non-adjusted",Indianapolis,IN,22,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Woods Melissa, Cohen, Weiss and Simon, LLP, 900 Third Avenue, Suite 2100, New York, NY, 10022-4869, (212)356-0234
Charged Party / Respondent, Notification, Dechiara Peter, COHEN, WEISS AND SIMON, LLP, 900 3rd Avenue, 21st Floor, New York, NY, 10022-4869, (212)356-0216
Charging Party, Individual
Charged Party / Respondent, Union, NALC, Branch 39, Indianapolis, IN, 46220
Involved Party, Employer, United States Postal Service, Indianapolis, IN, 46268
",,,
R,"Region 03, Buffalo, New York",03-RC-258772,"Vermont Journalism Trust d/b/a Vermont Digger",Closed,04/06/2020,04/29/2020,"Withdrawal Non-adjusted",Montpelier,VT,17,,"Employer, Legal Representative, Long Daniel, One Church Street, P.O. Box 1307, Burlington, VT, 05402-1307, (802)658-2311
Employer, Legal Representative, Stackpole Kerin, One Church Street, P.O. Box 1307, Burlington, VT, 05402-1307, (802)658-2311
Petitioner, Legal Representative, Melick Michael, Barr & Camens, 1025 Connecticut Avenue, N.W., Suite 1000, Washington, DC, 20036-5417, (202)293-9222
Employer, Employer, Vermont Journalism Trust d/b/a Vermont Digger, Montpelier, VT, 05602, (802)225-6224
Petitioner, Union, The News Guild -CWA, Washington, DC, 20001
",,"All full-time and regular part-time newsroom employees employed by the Employer.  Excluded:  All other employees, including all managers, guards, and supervisors as defined by the Act.",
C,"Region 01, Boston, Massachusetts",01-CA-258770,"AGGREGATE INDUSTRIES",Closed,04/06/2020,05/26/2020,"Withdrawal Adjusted",Swampscott,MA,25,"8(a)(2) Assistance
8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Employer, AGGREGATE INDUSTRIES, SAUGUS, MA, 01906-____
Charging Party, Union, INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 42, Lynn, MA, 01904-____
",,,
C,"Region 31, Los Angeles, California",31-CA-258848,"Chino Valley Medical Center",Closed,04/06/2020,06/22/2020,"Withdrawal Non-adjusted",Chino,CA,150,"8(a)(5) Refusal to Furnish Information
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(1) Coercive Rules
8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charging Party, Notification, Smith Jay, Gilbert & Sackman, A Law Corporation, 3699 Wilshire Boulevard, Suite 1200, Los Angeles, CA, 90010, (323)938-3000
Charged Party / Respondent, Legal Representative, Coletta Michael, 3480 E. Guasti Road, Ontario, CA, 91761, (415)430-8215
Charging Party, Legal Representative, Chandran Pamela, United Nurses Associations of California/Union of Health Care Professionals, 955 Overland Ct., Suite 150, San Dimas, CA, 91773, (909)741-0330
Charged Party / Respondent, Employer, Chino Valley Medical Center, Chino, CA, 91710
Charging Party, Union, United Nurses Associations of California/Union of Health Care Professionals, San Dimas, CA, 91773
",,,
C,"Region 02, New York, New York",02-CB-258845,"Local 1181-1061, Amalgamated Transit Union, AFL-CIO (Consolidated Transportation)",Closed,04/06/2020,07/29/2020,"Withdrawal Non-adjusted",Bronx,NY,100,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Charged Party / Respondent, Legal Representative,  BROOK RICHARD, Meyer, Suozzi, English & Klein, P.C., 1350 Broadway, 11th Fl.,;, New York, NY, 10018, (212)763-7010
Involved Party, Legal Representative, Milman Richard, Milman Labuda Law Group PLLC, 3000 Marcus Avenue,, Suite 3W8, Lake Success, NY, 11042, (516)328-8899
Charged Party / Respondent, Union,  Local 1181-1061, Amalgamated Transit Union, AFL-CIO, Valley Stream, NY, 11580-3818
Involved Party, Employer, Consolidated Transportation, Bronx, NY, 10473-____
Charging Party, Individual
",,,
C,"Region 21, Los Angeles, California",21-CA-258844,"Active Capital Company, B.V.; Laundry Los Angeles Laundry, Inc.; and Mobile Spanish Staffing Customer Services, Inc.",Closed,04/06/2020,09/24/2021,"Withdrawal Adjusted","Bell Gardens",CA,20,"8(a)(5) Refusal to Furnish Information
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Golubchik David, Levene, Neale, Bender, Yoo & Brill L.L.P., 10250 Constellation Boulevard, Suite 1700, Los Angeles, CA, 90067, (310)229-1234
Charging Party, Legal Representative, Giolito Robert, Law Office of Robert S. Giolito PC, 1626 Montana Avenue Suite 201, Santa Monica, CA, 90403, (310)897-1082
Charged Party / Respondent, Legal Representative, Nelson Warren, Fisher & Phillips, 2050 Main Street, Suite 1000, Irvine, CA, 92614, (949)798-2111
Charged Party / Respondent, Legal Representative, Nelson Warren, Fisher & Phillips, 2050 Main Street, Suite 1000, Irvine, CA, 92614, (949)798-2111
Charging Party, Union, Western States Regional Joint Board, Local 52, Workers United a/w SEIU, 920 S Alvarado St, Los Angeles, CA, 90006-3008
Charged Party / Respondent, Employer, Active Capital Company, B.V.; and Laundry Los Angeles, Inc., 6032 Shull St, Bell Gardens, CA, 90201
Charged Party / Respondent, Employer, Mobile Spanish Staffing Customer Services, Inc., 5550 Topanga Cyn Bl Ste 280, Woodland Hills, CA, 91367
",,,
C,"Region 12, Tampa, Florida",12-CB-259359,"National Association of Letter Carriers-Branch 599",Closed,04/06/2020,06/02/2020,"Dismissal Non-adjusted",Tampa,FL,100,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
8(b)(1)(A) Discipline (including charges/fines)/Harassment
8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
","Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Union, National Association of Letter Carriers-Branch 599, Tampa, FL, 33609-____
Involved Party, Employer, United States Postal Service, Tampa, FL, 33610-____
Charging Party, Individual
",,,
C,"Region 22, Newark, New Jersey",22-CA-258789,"Prism Sweeping Services Inc.",Closed,04/06/2020,05/20/2020,"Withdrawal Adjusted","WEST ORANGE",NJ,5,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, McGovern James, Genova Burns LLC, 494 Broad St, Fl 3, Newark, NJ, 07102-3229, (973)533-0777
Charging Party, Legal Representative, Stackpole Troy, DeCotiis, FitzPatrick, Cole & Giblin LLP, 61 S. Paramus Road, Suite 250, Paramus, NJ, 07652-____, (201)347-2149
Charged Party / Respondent, Employer, Prism Sweeping Services Inc., Wayne, NJ, 07474
Charging Party, Union, International Union of Operating Engineers, Local 825, Springfield, NJ, 07081-____
",,,
C,"Region 13, Chicago, Illinois",13-CA-258787,"Secure Parking USA",Closed,04/06/2020,02/03/2023,"Dismissal Adjusted",Chicago,IL,7,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Employer, Secure Parking USA, Milwaukee, WI, 53202
Charging Party, Union, Teamsters Union Local 727, Park Ridge, IL, 60068-____
",,,
C,"Region 16, Fort Worth, Texas",16-CA-258776,"United States Postal Service",Closed,04/06/2020,04/21/2022,"Compliance w/BO",Humble,TX,150,"8(a)(5) Refusal to Furnish Information
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Legal Representative, Thompson Joy, United States Postal Service, Law Department - NLRB Unit,, 475 L'Enfant Plaza SW, Washington, DC, 20260, (202)268-2390
Charging Party, Notification, Dechiara Peter, Cohen Weiss and Simon, LLP, 900 Third Avenue 21st Floor, New York, NY, 10022-4869, (212)356-0216
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, HUMBLE, TX, 77338-9998
Charging Party, Union, NATIONAL ASSOCIATION OF LETTER CARRIERS, BRANCH 283, HOUSTON, TX, 77039
",,,
C,"Region 07, Detroit, Michigan",07-CA-258771,"Regency of St. Clair Shores",Closed,04/06/2020,06/04/2020,"Withdrawal Non-adjusted","Saint Clair Shores",MI,100,"8(a)(3) Discipline
","Charged Party / Respondent, Legal Representative, Hammond Clifford, Foster Swift Collins & Smith, P.C., 28411 Northwestern Highway, Suite 500, Southfield, MI, 48034, (248)538-6324
Charging Party, Individual
Charged Party / Respondent, Employer, Regency at St. Clair Shores, St. Clair Shores, MI, 48080
",,,
C,"Region 16, Fort Worth, Texas",16-CB-258843,"American Postal Workers Union, McAllen Area, Local #4326 (United States Postal Service)",Closed,04/06/2020,07/24/2020,"Dismissal Non-adjusted",McAllen,TX,200,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access
","Involved Party, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Individual
Charged Party / Respondent, Union, AMERICAN POSTAL WORKERS UNION, MCALLEN AREA, LOCAL #4326, MCALLEN, TX, 78502
Involved Party, Employer, UNITED STATES POSTAL SERVICE, MCALLEN, TX, 78501
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-259008,"United States Postal Service",Closed,04/06/2020,06/01/2020,"Dismissal Non-adjusted",Memphis,TN,200,"8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, Employer, UNITED STATES POSTAL SERVICE, Memphis, TN, 38136-9997
Charging Party, Union, National Postal Mail Handlers Union Local 329, Memphis, TN, 38136-9998
",,,
C,"Region 07, Detroit, Michigan",07-CA-258768,"Mercy Health Partners, Hackley Campus",Closed,04/06/2020,05/27/2020,"Withdrawal Non-adjusted",Muskegon,MI,450,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
","Charged Party / Respondent, Legal Representative, Zdravecky Amy, Barnes & Thornburg LLP, 171 Monroe Ave NW Suite 1000, Grand Rapids, MI, 49503, (616)742-3988
Charged Party / Respondent, Legal Representative, Brodie Keith, Barnes & Thornburg, LLP, 171 Monroe Avenue, NW, Suite 1000, Grand Rapids, MI, 49503, (616)742-3958
Charged Party / Respondent, Legal Representative, Smith Randall, Mercy Health Partners, 1700 Clinton Street, Muskegon, MI, 49442, (231)672-3560
Charging Party, Union, Michigan Nurses Association (MNA), Okemos, MI, 48864
Charged Party / Respondent, Employer, Mercy Health Partners, Muskegon, MI, 49442-5502
",,,
C,"Region 12, Tampa, Florida",12-CA-259358,"United States Postal Service",Closed,04/06/2020,06/02/2020,"Dismissal Non-adjusted",Tampa,FL,100,"8(a)(1) Weingarten
8(a)(1) Coercive Rules
8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
8(a)(5) Refusal to Recognize
8(a)(1) Coercive Actions (Surveillance, etc)
8(a)(2) Domination
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charged Party / Respondent, , Delvecchio Patricia, United States Postal Service (Law Department - NLRB Unit), 1720 Market St, Rm 2400, St. Louis, MO, 63155-9948, (727)464-2913
Charging Party, Individual
Charged Party / Respondent, Employer, United States Postal Service, Tampa, FL, 33610-____
",,,
C,"Region 15, New Orleans, Louisiana",15-CA-258822,"United States Postal Service Memphis NDC",Closed,04/06/2020,04/10/2020,"Withdrawal Non-adjusted",Memphis,TN,200,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
","Charged Party / Respondent, Legal Representative, Colling James, United States Postal Service, Office of Deputy Managing Counsel-Field                               Law Department - NLRB Unit,, 1720 Market Street, Room 2400, St. Louis, MO, 63155-9948, (720)221-5128
Charging Party, Union, National Postal Mail Handlers Union, Local 329, Memphis NDC, Memphis, TN, 38136-9998
Charged Party / Respondent, Employer, United States Postal Service Memphis NDC, Memphis, TN, 38136-9998
",,,
